-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1984 through 01/31/1984 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,DOY,PRECTOTCORR
-11.75,28.25,1984,1,8.73
-11.75,28.75,1984,1,9.65
-11.75,29.25,1984,1,10.01
-11.75,29.75,1984,1,10.43
-11.75,30.25,1984,1,10.45
-11.75,30.75,1984,1,9.78
-11.75,31.25,1984,1,8.31
-11.75,31.75,1984,1,6.62
-11.75,32.25,1984,1,4.46
-11.75,32.75,1984,1,3.24
-11.75,33.25,1984,1,3.57
-11.75,33.75,1984,1,5.31
-11.25,28.25,1984,1,7.73
-11.25,28.75,1984,1,10.43
-11.25,29.25,1984,1,11.74
-11.25,29.75,1984,1,13.4
-11.25,30.25,1984,1,14.06
-11.25,30.75,1984,1,12.87
-11.25,31.25,1984,1,9.45
-11.25,31.75,1984,1,7.81
-11.25,32.25,1984,1,5.0
-11.25,32.75,1984,1,3.18
-11.25,33.25,1984,1,3.34
-11.25,33.75,1984,1,5.26
-10.75,28.25,1984,1,7.17
-10.75,28.75,1984,1,11.17
-10.75,29.25,1984,1,12.29
-10.75,29.75,1984,1,15.81
-10.75,30.25,1984,1,17.83
-10.75,30.75,1984,1,16.14
-10.75,31.25,1984,1,10.23
-10.75,31.75,1984,1,9.53
-10.75,32.25,1984,1,6.14
-10.75,32.75,1984,1,3.74
-10.75,33.25,1984,1,3.75
-10.75,33.75,1984,1,5.27
-10.25,28.25,1984,1,6.2
-10.25,28.75,1984,1,9.82
-10.25,29.25,1984,1,10.12
-10.25,29.75,1984,1,14.76
-10.25,30.25,1984,1,18.22
-10.25,30.75,1984,1,17.44
-10.25,31.25,1984,1,11.79
-10.25,31.75,1984,1,10.86
-10.25,32.25,1984,1,6.97
-10.25,32.75,1984,1,4.64
-10.25,33.25,1984,1,4.84
-10.25,33.75,1984,1,4.97
-9.75,28.25,1984,1,5.57
-9.75,28.75,1984,1,7.62
-9.75,29.25,1984,1,8.46
-9.75,29.75,1984,1,11.93
-9.75,30.25,1984,1,14.63
-9.75,30.75,1984,1,14.68
-9.75,31.25,1984,1,11.78
-9.75,31.75,1984,1,10.17
-9.75,32.25,1984,1,7.44
-9.75,32.75,1984,1,5.88
-9.75,33.25,1984,1,5.7
-9.75,33.75,1984,1,5.0
-9.25,28.25,1984,1,6.12
-9.25,28.75,1984,1,6.5
-9.25,29.25,1984,1,7.39
-9.25,29.75,1984,1,8.88
-9.25,30.25,1984,1,9.71
-9.25,30.75,1984,1,9.74
-9.25,31.25,1984,1,9.89
-9.25,31.75,1984,1,8.61
-9.25,32.25,1984,1,8.45
-9.25,32.75,1984,1,8.42
