-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,-10.25,28.25,203.03,164.53,282.66,52.21,10.55,0.0,0.0,0.0,4.22,26.89,103.36,182.46,1029.9
PRECTOTCORR_SUM,1981,-10.25,28.75,266.31,168.75,242.58,50.1,10.55,0.0,0.0,0.0,10.55,18.46,73.83,152.93,994.04
PRECTOTCORR_SUM,1981,-10.25,29.25,257.87,172.97,242.58,50.1,10.55,0.0,0.0,0.0,6.33,18.46,78.05,146.6,983.5
PRECTOTCORR_SUM,1981,-10.25,29.75,277.91,240.47,237.83,48.52,10.55,0.0,0.0,0.0,3.69,10.55,87.01,133.95,1050.47
PRECTOTCORR_SUM,1981,-10.25,30.25,278.96,297.42,230.45,45.35,8.44,0.0,0.0,0.0,2.64,7.38,88.07,121.29,1080.0
PRECTOTCORR_SUM,1981,-10.25,30.75,246.27,311.66,217.79,42.71,5.8,0.0,0.0,0.0,2.11,9.49,73.3,114.43,1023.57
PRECTOTCORR_SUM,1981,-10.25,31.25,197.75,292.68,192.48,44.82,7.91,0.0,0.0,0.0,0.0,5.27,39.55,118.65,899.12
PRECTOTCORR_SUM,1981,-10.25,31.75,178.77,284.24,194.59,53.26,7.91,0.0,0.0,0.0,2.11,7.38,39.55,118.65,886.46
PRECTOTCORR_SUM,1981,-10.25,32.25,164.53,263.14,185.63,50.62,11.07,0.0,0.0,0.0,1.05,7.91,49.04,121.82,854.82
PRECTOTCORR_SUM,1981,-10.25,32.75,161.37,266.31,193.01,52.73,13.18,0.0,0.0,0.0,0.0,10.02,65.92,132.36,894.9
PRECTOTCORR_SUM,1981,-10.25,33.25,164.53,296.89,221.48,63.28,13.71,0.0,0.0,0.53,0.0,15.29,83.85,145.55,1005.12
PRECTOTCORR_SUM,1981,-10.25,33.75,158.2,324.32,253.12,73.83,15.82,0.0,0.0,2.64,0.0,23.73,92.29,147.66,1091.6
PRECTOTCORR_SUM,1981,-10.25,34.25,107.58,290.57,208.83,63.28,15.82,0.0,0.0,6.86,0.0,11.07,62.75,88.59,855.35
PRECTOTCORR_SUM,1981,-10.25,34.75,117.07,253.65,183.52,84.38,18.98,0.0,0.0,9.49,1.58,6.33,47.46,67.5,789.96
PRECTOTCORR_SUM,1981,-10.25,35.25,145.55,231.5,164.53,114.96,22.15,1.05,0.0,7.38,2.64,5.27,41.13,72.77,808.95
PRECTOTCORR_SUM,1981,-10.25,35.75,162.42,220.96,150.29,135.53,22.68,3.69,0.0,3.16,3.69,4.75,39.55,91.23,837.95
PRECTOTCORR_SUM,1981,-10.25,36.25,147.66,197.75,150.29,129.2,18.46,7.91,0.0,5.27,7.91,2.64,39.55,108.11,814.75
PRECTOTCORR_SUM,1981,-10.25,36.75,137.11,178.77,154.51,127.09,22.68,12.13,4.22,3.16,10.02,6.86,41.66,122.87,821.07
PRECTOTCORR_SUM,1981,-10.25,37.25,120.23,170.86,142.91,120.23,30.06,17.93,6.86,2.64,10.55,11.07,42.19,142.38,817.91
PRECTOTCORR_SUM,1981,-10.25,37.75,83.32,163.48,115.49,85.43,34.28,21.09,6.86,1.58,6.33,13.18,39.02,161.37,731.43
PRECTOTCORR_SUM,1981,-10.75,28.25,224.12,194.06,263.67,64.34,7.91,0.0,0.0,0.0,0.53,18.46,77.52,166.64,1017.25
PRECTOTCORR_SUM,1981,-10.75,28.75,266.31,189.84,232.03,58.01,7.91,0.0,0.0,0.0,2.64,7.91,71.19,158.2,994.04
PRECTOTCORR_SUM,1981,-10.75,29.25,272.64,204.61,234.14,55.9,7.91,0.0,0.0,0.0,0.53,5.8,71.19,153.98,1006.7
PRECTOTCORR_SUM,1981,-10.75,29.75,278.96,265.25,215.68,49.04,7.91,0.0,0.0,0.0,0.0,3.69,83.85,129.2,1033.59
PRECTOTCORR_SUM,1981,-10.75,30.25,273.69,306.39,194.59,43.77,6.86,0.0,0.0,0.0,0.0,4.75,87.01,112.32,1029.38
PRECTOTCORR_SUM,1981,-10.75,30.75,246.27,313.77,184.57,45.35,5.27,0.0,0.0,0.0,0.0,7.91,75.41,111.8,990.35
PRECTOTCORR_SUM,1981,-10.75,31.25,187.21,324.32,195.12,58.01,5.27,0.0,0.0,0.0,0.0,7.91,60.64,116.02,954.49
PRECTOTCORR_SUM,1981,-10.75,31.75,176.66,328.54,201.45,62.23,7.38,0.0,0.0,0.0,0.0,10.02,58.54,120.23,965.04
PRECTOTCORR_SUM,1981,-10.75,32.25,162.95,307.44,191.95,56.95,11.07,0.0,0.0,0.0,0.0,8.96,58.01,126.04,923.38
PRECTOTCORR_SUM,1981,-10.75,32.75,149.24,294.79,170.86,53.79,14.24,0.0,0.0,0.0,0.0,4.75,56.95,121.82,866.43
PRECTOTCORR_SUM,1981,-10.75,33.25,145.55,313.24,169.8,62.75,17.4,0.0,0.0,1.05,0.0,4.75,60.64,117.07,892.27
PRECTOTCORR_SUM,1981,-10.75,33.75,168.75,374.41,247.85,92.29,23.73,0.0,0.0,5.27,0.0,23.73,81.74,142.38,1160.16
PRECTOTCORR_SUM,1981,-10.75,34.25,130.78,346.99,226.76,69.08,21.62,0.0,0.0,5.27,0.0,15.29,60.64,106.52,982.97
PRECTOTCORR_SUM,1981,-10.75,34.75,130.78,314.82,183.52,79.1,22.68,0.0,0.0,3.69,0.0,10.02,44.3,83.32,872.23
PRECTOTCORR_SUM,1981,-10.75,35.25,146.6,292.68,160.31,108.63,26.89,2.11,0.0,1.58,0.0,7.91,35.86,83.32,865.9
PRECTOTCORR_SUM,1981,-10.75,35.75,153.98,278.44,164.0,136.58,31.64,6.33,0.0,0.53,0.53,7.91,35.33,100.2,915.47
PRECTOTCORR_SUM,1981,-10.75,36.25,126.56,253.12,166.11,134.47,31.64,10.55,0.0,2.64,2.64,7.91,39.55,110.74,885.94
PRECTOTCORR_SUM,1981,-10.75,36.75,113.91,208.83,174.55,136.58,35.86,16.88,2.11,4.75,6.86,12.13,45.88,129.73,888.05
PRECTOTCORR_SUM,1981,-10.75,37.25,96.5,196.17,157.68,126.04,40.08,23.2,2.64,5.27,6.33,13.18,41.13,142.38,850.61
PRECTOTCORR_SUM,1981,-10.75,37.75,68.03,187.73,121.82,87.01,40.08,25.31,2.64,3.16,4.22,12.13,35.86,160.31,748.3
PRECTOTCORR_SUM,1981,-11.25,28.25,243.11,216.21,243.63,75.41,2.64,0.0,0.0,0.0,0.0,15.29,76.99,133.42,1006.7
PRECTOTCORR_SUM,1981,-11.25,28.75,245.21,205.66,205.66,60.64,2.64,0.0,0.0,0.0,0.0,2.64,89.65,129.2,941.31
PRECTOTCORR_SUM,1981,-11.25,29.25,264.2,218.32,203.55,52.21,2.64,0.0,0.0,0.0,0.0,0.53,81.21,124.98,947.64
PRECTOTCORR_SUM,1981,-11.25,29.75,257.87,261.04,174.55,39.02,2.64,0.0,0.0,0.0,0.0,3.16,91.76,104.94,934.98
PRECTOTCORR_SUM,1981,-11.25,30.25,249.43,287.4,151.35,31.64,2.64,0.0,0.0,0.0,0.0,5.27,97.03,94.39,919.16
PRECTOTCORR_SUM,1981,-11.25,30.75,236.25,292.68,155.04,36.91,2.64,0.0,0.53,0.0,0.0,5.8,92.29,101.78,923.91
PRECTOTCORR_SUM,1981,-11.25,31.25,189.84,313.77,195.12,58.01,2.64,0.0,2.64,0.0,0.0,7.91,92.29,118.65,980.86
PRECTOTCORR_SUM,1981,-11.25,31.75,177.19,313.77,214.1,60.12,6.86,0.0,2.64,0.0,0.0,12.13,88.07,129.2,1004.06
PRECTOTCORR_SUM,1981,-11.25,32.25,158.2,296.37,193.54,54.32,7.91,0.0,1.05,0.0,0.0,8.44,79.1,131.84,930.76
PRECTOTCORR_SUM,1981,-11.25,32.75,141.33,284.77,162.95,50.1,7.91,0.0,0.0,0.0,0.0,4.22,69.61,126.56,847.44
PRECTOTCORR_SUM,1981,-11.25,33.25,139.75,300.06,163.48,59.59,10.55,0.0,0.0,0.53,0.0,6.86,66.97,123.4,871.17
PRECTOTCORR_SUM,1981,-11.25,33.75,171.39,361.23,247.85,97.56,21.09,0.0,0.0,2.64,0.0,23.73,81.74,142.38,1149.61
PRECTOTCORR_SUM,1981,-11.25,34.25,146.07,344.36,243.63,72.25,18.98,0.0,0.0,2.64,0.0,17.4,62.75,119.18,1027.27
PRECTOTCORR_SUM,1981,-11.25,34.75,131.84,333.81,199.86,67.5,21.62,0.0,0.0,1.05,0.0,12.66,48.52,105.47,922.32
PRECTOTCORR_SUM,1981,-11.25,35.25,130.78,326.43,166.11,79.1,25.84,1.05,0.0,0.0,0.0,10.55,43.24,104.41,887.52
PRECTOTCORR_SUM,1981,-11.25,35.75,130.78,318.52,157.68,93.34,29.0,2.64,0.0,0.0,0.0,10.55,44.3,110.21,897.01
PRECTOTCORR_SUM,1981,-11.25,36.25,105.47,305.86,155.57,87.01,29.0,2.64,0.0,0.0,0.0,10.55,42.19,108.11,846.39
PRECTOTCORR_SUM,1981,-11.25,36.75,86.48,253.12,161.89,80.68,29.0,11.07,0.0,2.11,2.11,12.66,46.41,129.2,814.75
PRECTOTCORR_SUM,1981,-11.25,37.25,73.83,246.27,152.4,72.77,27.42,14.77,0.0,2.64,1.05,11.6,44.3,139.22,786.27
PRECTOTCORR_SUM,1981,-11.25,37.75,51.68,233.61,124.98,50.62,26.37,16.88,0.0,1.58,1.05,10.55,37.97,158.2,713.5
PRECTOTCORR_SUM,1981,-11.75,28.25,263.14,247.32,238.36,78.57,0.0,0.0,0.0,0.0,0.0,8.96,109.69,104.41,1050.47
PRECTOTCORR_SUM,1981,-11.75,28.75,271.58,234.67,189.84,55.37,0.0,0.0,0.0,0.0,0.0,2.64,116.02,100.2,970.31
PRECTOTCORR_SUM,1981,-11.75,29.25,271.58,234.67,181.41,44.82,0.0,0.0,0.0,0.0,0.0,2.64,99.14,102.3,936.56
PRECTOTCORR_SUM,1981,-11.75,29.75,247.85,275.8,144.49,32.7,0.0,0.0,0.0,0.0,0.0,4.22,98.09,90.18,893.32
PRECTOTCORR_SUM,1981,-11.75,30.25,229.92,304.28,123.4,28.48,0.0,0.0,0.0,0.0,0.0,5.27,101.25,87.01,879.61
PRECTOTCORR_SUM,1981,-11.75,30.75,222.01,304.8,141.33,36.91,0.0,0.0,1.05,0.0,0.0,5.8,103.36,101.78,917.05
PRECTOTCORR_SUM,1981,-11.75,31.25,203.03,300.59,200.39,58.01,0.0,0.0,5.27,0.0,0.0,7.91,105.47,129.2,1009.86
PRECTOTCORR_SUM,1981,-11.75,31.75,181.93,281.6,200.39,53.79,2.11,0.0,5.27,0.0,0.0,10.02,103.36,131.31,969.79
PRECTOTCORR_SUM,1981,-11.75,32.25,165.59,267.36,178.24,49.57,2.64,0.0,2.11,0.0,0.0,8.96,93.34,141.33,909.14
PRECTOTCORR_SUM,1981,-11.75,32.75,153.98,263.14,162.42,46.41,1.58,0.0,0.0,0.0,0.0,7.91,84.9,145.55,865.9
PRECTOTCORR_SUM,1981,-11.75,33.25,152.4,276.33,177.71,51.15,3.16,0.53,0.0,0.0,0.0,11.07,83.32,145.55,901.23
PRECTOTCORR_SUM,1981,-11.75,33.75,171.39,316.41,245.21,76.46,15.82,2.64,0.0,0.0,0.0,23.73,89.65,158.2,1099.51
PRECTOTCORR_SUM,1981,-11.75,34.25,143.96,310.08,255.76,61.7,15.82,0.53,0.0,0.0,0.0,17.4,68.55,137.11,1010.92
PRECTOTCORR_SUM,1981,-11.75,34.75,126.04,299.0,210.94,43.77,12.66,0.0,0.0,0.0,0.0,11.07,61.7,119.18,884.36
PRECTOTCORR_SUM,1981,-11.75,35.25,124.98,309.55,170.86,37.44,13.71,0.0,0.0,0.0,0.0,8.96,66.97,117.07,849.55
PRECTOTCORR_SUM,1981,-11.75,35.75,129.2,333.81,159.26,42.19,18.46,0.0,0.0,0.0,0.0,11.6,73.83,126.04,894.38
PRECTOTCORR_SUM,1981,-11.75,36.25,108.11,329.59,163.48,42.19,18.46,0.0,0.0,0.0,0.0,15.82,63.28,123.93,864.84
PRECTOTCORR_SUM,1981,-11.75,36.75,89.12,308.5,159.26,33.75,16.35,6.33,0.0,0.0,0.0,15.82,56.95,134.47,820.55
PRECTOTCORR_SUM,1981,-11.75,37.25,79.63,304.8,151.88,30.06,14.24,7.91,0.0,0.0,0.0,15.82,55.37,138.69,798.4
PRECTOTCORR_SUM,1981,-11.75,37.75,53.26,290.04,131.84,20.57,15.29,8.96,0.0,0.0,0.0,15.82,46.93,152.4,735.12
PRECTOTCORR_SUM,1981,-2.25,28.25,170.33,83.32,378.63,328.54,277.91,25.31,12.13,110.74,196.7,235.72,146.6,268.95,2234.88
PRECTOTCORR_SUM,1981,-2.25,28.75,123.93,79.1,363.87,313.77,229.39,31.64,7.91,47.46,97.56,166.11,79.1,205.66,1745.51
PRECTOTCORR_SUM,1981,-2.25,29.25,98.61,70.66,351.21,301.11,233.61,27.42,5.8,43.24,112.32,159.79,79.1,180.35,1663.24
PRECTOTCORR_SUM,1981,-2.25,29.75,59.06,46.41,363.87,261.56,218.85,13.71,3.69,37.44,103.36,145.55,66.45,148.71,1468.65
PRECTOTCORR_SUM,1981,-2.25,30.25,35.86,29.53,378.63,234.14,197.75,4.22,1.58,33.22,98.09,132.89,53.79,132.89,1332.6
PRECTOTCORR_SUM,1981,-2.25,30.75,35.86,26.89,382.85,229.92,183.52,3.16,0.0,32.7,108.11,127.62,52.21,137.11,1319.94
PRECTOTCORR_SUM,1981,-2.25,31.25,42.19,29.0,374.41,232.03,189.84,5.27,0.0,36.91,129.2,131.84,71.19,147.66,1389.55
PRECTOTCORR_SUM,1981,-2.25,31.75,42.19,33.22,361.76,244.69,191.95,7.38,0.0,43.24,127.09,138.16,85.96,160.31,1435.96
PRECTOTCORR_SUM,1981,-2.25,32.25,53.26,40.61,328.54,225.7,179.82,9.49,0.0,47.99,101.25,111.27,110.21,141.33,1349.47
PRECTOTCORR_SUM,1981,-2.25,32.75,57.48,43.77,304.28,199.34,167.17,9.49,0.0,44.82,75.94,83.85,121.82,119.18,1227.13
PRECTOTCORR_SUM,1981,-2.25,33.25,51.68,41.66,287.93,180.35,150.82,6.86,0.0,34.8,58.54,62.23,109.16,106.0,1090.02
PRECTOTCORR_SUM,1981,-2.25,33.75,47.46,39.55,247.85,174.02,110.74,2.64,0.0,26.37,39.55,26.37,71.19,97.56,883.3
PRECTOTCORR_SUM,1981,-2.25,34.25,43.24,33.22,226.76,176.13,85.43,2.64,2.11,20.04,24.79,11.6,60.64,78.57,765.18
PRECTOTCORR_SUM,1981,-2.25,34.75,39.02,49.04,197.75,200.39,117.07,1.05,2.64,20.04,14.77,20.57,50.1,76.99,789.43
PRECTOTCORR_SUM,1981,-2.25,35.25,30.59,56.43,166.11,207.77,141.33,1.05,1.58,16.88,8.44,33.22,38.5,70.66,772.56
PRECTOTCORR_SUM,1981,-2.25,35.75,17.93,40.61,139.22,180.35,127.09,2.64,0.0,8.44,4.75,35.86,27.42,53.26,637.56
PRECTOTCORR_SUM,1981,-2.25,36.25,5.27,2.64,126.56,121.29,76.46,2.64,0.0,0.0,2.64,21.09,21.09,34.28,413.96
PRECTOTCORR_SUM,1981,-2.25,36.75,5.27,6.86,122.34,138.16,72.25,2.64,0.0,0.0,4.75,27.42,31.64,53.26,464.59
PRECTOTCORR_SUM,1981,-2.25,37.25,5.27,7.91,126.04,156.62,69.61,1.05,0.0,0.0,5.27,33.75,39.02,70.66,515.21
PRECTOTCORR_SUM,1981,-2.25,37.75,3.16,4.75,132.36,175.61,62.23,2.11,0.0,0.0,9.49,42.19,52.73,89.65,574.28
PRECTOTCORR_SUM,1981,-2.75,28.25,180.88,94.92,364.39,290.04,276.33,30.06,18.46,109.16,204.61,230.45,111.27,243.11,2153.67
PRECTOTCORR_SUM,1981,-2.75,28.75,123.93,84.38,313.77,300.59,274.22,44.82,18.46,60.64,126.56,192.48,71.19,181.93,1792.97
PRECTOTCORR_SUM,1981,-2.75,29.25,111.27,75.94,299.0,273.16,255.23,32.17,10.02,52.21,118.12,165.06,71.19,165.06,1628.44
PRECTOTCORR_SUM,1981,-2.75,29.75,79.63,58.01,320.62,236.25,228.34,11.6,6.33,45.35,109.69,139.22,60.12,141.86,1437.01
PRECTOTCORR_SUM,1981,-2.75,30.25,56.43,46.41,339.61,219.38,206.19,0.0,4.22,41.13,104.41,126.56,53.79,128.14,1326.27
