-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 12/31/2010 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS     MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
LAT,LON,YEAR,DOY,TS
-11.75,38.25,2010,1,27.03
-11.75,38.75,2010,1,27.48
-11.75,39.25,2010,1,26.95
-11.75,39.75,2010,1,26.98
-11.75,40.25,2010,1,27.88
-11.75,40.75,2010,1,29.22
-11.75,41.25,2010,1,29.76
-11.75,41.75,2010,1,29.64
-11.75,42.25,2010,1,29.53
-11.75,42.75,2010,1,29.48
-11.75,43.25,2010,1,29.47
-11.75,43.75,2010,1,29.46
-11.75,44.25,2010,1,29.27
-11.75,44.75,2010,1,29.19
-11.75,45.25,2010,1,29.11
-11.75,45.75,2010,1,29.0
-11.75,46.25,2010,1,28.89
-11.75,46.75,2010,1,28.88
-11.75,47.25,2010,1,28.9
-11.75,47.75,2010,1,28.95
-11.25,38.25,2010,1,27.37
-11.25,38.75,2010,1,28.62
-11.25,39.25,2010,1,27.89
-11.25,39.75,2010,1,27.73
-11.25,40.25,2010,1,28.43
-11.25,40.75,2010,1,29.53
-11.25,41.25,2010,1,29.81
-11.25,41.75,2010,1,29.71
-11.25,42.25,2010,1,29.59
-11.25,42.75,2010,1,29.53
-11.25,43.25,2010,1,29.5
-11.25,43.75,2010,1,29.42
-11.25,44.25,2010,1,29.18
-11.25,44.75,2010,1,29.05
-11.25,45.25,2010,1,28.92
-11.25,45.75,2010,1,28.79
-11.25,46.25,2010,1,28.71
-11.25,46.75,2010,1,28.73
-11.25,47.25,2010,1,28.77
-11.25,47.75,2010,1,28.85
-10.75,38.25,2010,1,27.04
-10.75,38.75,2010,1,28.01
-10.75,39.25,2010,1,28.5
-10.75,39.75,2010,1,28.55
-10.75,40.25,2010,1,29.2
-10.75,40.75,2010,1,30.13
-10.75,41.25,2010,1,29.76
-10.75,41.75,2010,1,29.74
-10.75,42.25,2010,1,29.69
-10.75,42.75,2010,1,29.65
-10.75,43.25,2010,1,29.6
-10.75,43.75,2010,1,29.43
-10.75,44.25,2010,1,29.23
-10.75,44.75,2010,1,29.05
-10.75,45.25,2010,1,28.9
-10.75,45.75,2010,1,28.77
-10.75,46.25,2010,1,28.72
-10.75,46.75,2010,1,28.78
-10.75,47.25,2010,1,28.85
-10.75,47.75,2010,1,28.94
-10.25,38.25,2010,1,27.18
-10.25,38.75,2010,1,27.87
-10.25,39.25,2010,1,28.16
-10.25,39.75,2010,1,28.57
-10.25,40.25,2010,1,29.26
-10.25,40.75,2010,1,29.92
-10.25,41.25,2010,1,29.71
-10.25,41.75,2010,1,29.78
-10.25,42.25,2010,1,29.79
-10.25,42.75,2010,1,29.77
-10.25,43.25,2010,1,29.72
-10.25,43.75,2010,1,29.55
-10.25,44.25,2010,1,29.33
-10.25,44.75,2010,1,29.13
