-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS     MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,-0.25,28.25,22.41,22.54,21.86,21.78,21.52,21.46,21.53,21.54,21.63,21.86,21.85,22.0,21.83
TS,1981,-0.25,28.75,21.29,21.8,20.64,20.46,20.08,19.99,20.19,20.51,20.51,20.59,20.47,20.52,20.58
TS,1981,-0.25,29.25,22.14,22.74,21.22,20.77,20.32,20.18,20.66,21.07,21.2,20.76,20.67,20.86,21.04
TS,1981,-0.25,29.75,23.48,24.43,22.1,21.31,20.85,20.75,21.5,22.04,21.94,21.28,21.14,21.4,21.84
TS,1981,-0.25,30.25,23.72,24.96,22.26,21.1,20.63,20.44,21.24,21.89,21.6,20.92,20.81,21.06,21.7
TS,1981,-0.25,30.75,22.75,24.12,21.81,20.42,19.91,19.43,20.08,20.8,20.52,19.98,20.01,20.14,20.81
TS,1981,-0.25,31.25,21.93,23.37,22.03,20.76,20.17,19.37,19.82,20.75,20.49,20.26,20.41,20.36,20.8
TS,1981,-0.25,31.75,23.59,24.09,23.36,22.39,21.57,21.04,21.18,22.27,22.19,21.84,22.16,22.17,22.31
TS,1981,-0.25,32.25,26.09,25.66,25.1,24.33,23.23,23.25,23.31,24.43,24.62,23.93,24.39,24.5,24.4
TS,1981,-0.25,32.75,27.6,26.84,26.1,25.45,24.31,24.95,25.08,26.04,26.47,25.46,25.87,26.07,25.85
TS,1981,-0.25,33.25,27.64,27.18,26.22,25.55,24.73,25.83,26.01,26.73,27.26,26.25,26.39,26.57,26.36
TS,1981,-0.25,33.75,27.03,27.08,26.35,25.28,25.17,26.36,26.21,26.95,27.32,26.98,26.7,26.69,26.51
TS,1981,-0.25,34.25,26.76,28.43,26.47,23.74,23.69,24.2,24.21,24.87,25.96,26.61,26.44,26.24,25.62
TS,1981,-0.25,34.75,24.84,26.6,24.88,21.42,21.5,21.36,21.36,21.86,23.05,23.7,23.72,23.64,23.14
TS,1981,-0.25,35.25,21.24,22.66,21.63,18.44,18.55,17.96,17.81,18.11,19.1,19.42,19.49,19.62,19.49
TS,1981,-0.25,35.75,18.08,19.32,18.72,16.25,16.26,15.55,15.15,15.29,16.18,16.3,16.28,16.54,16.65
TS,1981,-0.25,36.25,19.6,20.95,20.07,17.66,17.53,17.1,16.46,16.51,17.9,18.24,18.21,18.44,18.21
TS,1981,-0.25,36.75,18.58,20.25,19.61,17.71,17.31,16.63,16.24,16.55,17.79,18.06,17.61,17.53,17.81
TS,1981,-0.25,37.25,19.05,20.68,20.43,18.66,18.1,17.28,17.06,17.69,18.97,19.25,18.56,18.18,18.65
TS,1981,-0.25,37.75,21.79,23.26,23.18,21.27,20.72,20.07,19.93,20.98,22.19,22.34,21.37,20.84,21.49
TS,1981,-0.75,28.25,22.21,22.33,21.58,21.45,21.27,21.25,21.45,21.71,21.67,21.64,21.56,21.72,21.65
TS,1981,-0.75,28.75,21.31,21.99,20.19,19.61,19.27,19.25,19.75,20.58,20.47,20.05,19.72,19.79,20.15
TS,1981,-0.75,29.25,22.44,23.32,21.3,20.51,20.11,20.08,20.82,21.68,21.58,20.8,20.56,20.77,21.15
TS,1981,-0.75,29.75,22.46,23.47,21.34,20.41,20.0,19.81,20.44,21.37,21.17,20.44,20.28,20.55,20.96
TS,1981,-0.75,30.25,22.37,23.42,21.29,20.14,19.59,19.25,19.8,20.8,20.48,19.91,19.85,20.08,20.56
TS,1981,-0.75,30.75,22.56,23.63,21.64,20.19,19.44,18.99,19.61,20.64,20.21,19.85,19.92,19.99,20.54
TS,1981,-0.75,31.25,22.81,24.01,22.42,20.77,20.04,19.4,20.11,21.19,20.57,20.56,20.73,20.55,21.08
TS,1981,-0.75,31.75,25.67,25.56,24.75,23.54,22.54,22.12,22.47,23.76,23.61,23.32,23.5,23.46,23.68
TS,1981,-0.75,32.25,28.09,27.13,26.59,25.43,24.23,24.27,24.51,25.77,26.06,25.29,25.6,25.74,25.72
TS,1981,-0.75,32.75,29.19,27.98,27.31,26.1,24.93,25.54,25.84,26.87,27.38,26.18,26.6,26.82,26.72
TS,1981,-0.75,33.25,29.03,28.04,27.12,25.87,24.95,26.08,26.41,27.13,27.59,26.31,26.73,26.94,26.84
